weaponName,omnvarIdx,stringRef,image,<column 4>
iw8_sn_alpha50,0,WEAPON/SN_ALPHA50,icon_weapon_sn_alpha50,rand_sniper+rand_sniperdmr+rand_primary+rand_weapon
iw8_sn_crossbow,1,WEAPON/SN_CROSSBOW,icon_weapon_sn_crossbow,rand_dmr+rand_sniperdmr+rand_primary
iw8_sn_delta,2,WEAPON/SN_DELTA,icon_weapon_sn_delta,rand_sniper+rand_sniperdmr+rand_primary+rand_weapon
iw8_sn_hdromeo,3,WEAPON/SN_HDROMEO,icon_weapon_sn_hdromeo,rand_sniper+rand_sniperdmr+rand_primary+rand_weapon
iw8_sn_kilo98,4,WEAPON/SN_KILO98,icon_weapon_sn_kilo98,rand_sniper+rand_sniperdmr+rand_primary+rand_weapon
iw8_sn_mike14,5,WEAPON/SN_MIKE14,icon_weapon_sn_mike14,rand_dmr+rand_sniperdmr+rand_primary
iw8_sn_romeo700,6,WEAPON/SN_ROMEO700,icon_weapon_sn_romeo700,rand_sniper+rand_sniperdmr+rand_primary+rand_weapon
iw8_sn_sbeta,7,WEAPON/SN_SBETA,icon_weapon_sn_sbeta,rand_sniper+rand_sniperdmr+rand_primary+rand_weapon
iw8_sn_sksierra,8,WEAPON/SN_SKSIERRA,icon_weapon_sn_sksierra,rand_dmr+rand_sniperdmr+rand_primary
iw8_sn_t9accurate,9,WEAPON/SN_T9ACCURATE,icon_weapon_sn_t9accurate,rand_sniper+rand_sniperdmr+rand_primary+rand_weapon
iw8_sn_t9cannon,10,WEAPON/SN_T9CANNON,icon_weapon_sn_t9cannon,rand_sniper+rand_sniperdmr+rand_primary+rand_weapon
iw8_sn_t9crossbow,11,WEAPON_VICTOR/SN_T9CROSSBOW,ui_loot_weapon_sn_crossbow,rand_dmr+rand_sniperdmr+rand_primary+rand_weapon
iw8_sn_t9damagesemi,12,WEAPON_TANGO/SN_T9DAMAGESEMI,ui_loot_weapon_sn_t9damagesemi,rand_dmr+rand_sniperdmr+rand_primary
iw8_sn_t9explosivebow,13,WEAPON_YANKEE/SN_EXPLOSIVEBOW,ui_loot_weapon_sn_crossbow,rand_dmr+rand_sniperdmr+rand_primary+rand_weapon
iw8_sn_t9powersemi,14,WEAPON/SN_T9POWERSEMI,icon_weapon_sn_t9powersemi,rand_sniper+rand_sniperdmr+rand_primary
iw8_sn_t9precisionsemi,15,WEAPON_TANGO/SN_T9PRECISIONSEMI,ui_loot_weapon_sn_t9precisionsemi,rand_dmr+rand_sniperdmr+rand_primary
iw8_sn_t9quickscope,16,WEAPON/SN_T9QUICKSCOPE,icon_weapon_sn_t9quickscope,rand_sniper+rand_sniperdmr+rand_primary+rand_weapon
iw8_sn_t9standard,17,WEAPON/SN_T9STANDARD,icon_weapon_sn_t9standard,rand_sniper+rand_sniperdmr+rand_primary+rand_weapon
iw8_sn_xmike109,18,WEAPON/SN_XMIKE109,icon_weapon_sn_xmike109,rand_sniper+rand_sniperdmr+rand_primary+rand_weapon
iw8_ar_akilo47,19,WEAPON/AR_AKILO47,icon_weapon_ar_akilo47,rand_assault+rand_primary
iw8_ar_anovember94,20,WEAPON/AR_ANOVEMBER94,icon_weapon_ar_anovember94,rand_assault+rand_primary
iw8_ar_asierra12,21,WEAPON/AR_ASIERRA12,icon_weapon_ar_asierra12,rand_assault+rand_primary
iw8_ar_falima,22,WEAPON/AR_FALIMA,icon_weapon_ar_falima,rand_assault+rand_primary
iw8_ar_falpha,23,WEAPON/AR_FALPHA,icon_weapon_ar_falpha,rand_assault+rand_primary
iw8_ar_galima,24,WEAPON/AR_GALIMA,icon_weapon_ar_galima,rand_assault+rand_primary
iw8_ar_kilo433,25,WEAPON/AR_KILO433,icon_weapon_ar_kilo433,rand_assault+rand_primary
iw8_ar_mcharlie,26,WEAPON/AR_MCHARLIE,icon_weapon_ar_mcharlie,rand_assault+rand_primary
iw8_ar_mike4,27,WEAPON/AR_MIKE4,icon_weapon_ar_mike4,rand_assault+rand_primary
iw8_ar_scharlie,28,WEAPON/AR_SCHARLIE,icon_weapon_ar_scharlie,rand_assault+rand_primary
iw8_ar_sierra552,29,WEAPON/AR_SIERRA552,icon_weapon_ar_sierra552,rand_assault+rand_primary
iw8_ar_t9accurate,30,WEAPON_TANGO/AR_T9ACCURATE,ui_loot_weapon_ar_t9accurate,rand_assault+rand_primary
iw8_ar_t9british,31,WEAPON_BAKER/AR_T9BRITISH,ui_loot_weapon_ar_t9british,rand_assault+rand_primary
iw8_ar_t9damage,32,WEAPON_ZULU/AR_T9SLOWFIRE,ui_loot_weapon_ar_t9slowfire_v0,rand_assault+rand_primary
iw8_ar_t9fastburst,33,WEAPON_TANGO/AR_T9LONGBURST,ui_loot_weapon_ar_t9longburst,rand_assault+rand_primary
iw8_ar_t9fastfire,34,WEAPON_TANGO/AR_T9FASTFIRE,ui_loot_weapon_ar_t9fastfire,rand_assault+rand_primary
iw8_ar_t9fasthandling,35,WEAPON_TANGO/AR_T9FASTHANDLING,ui_loot_weapon_ar_t9fasthandling,rand_assault+rand_primary
iw8_ar_t9longburst,36,WEAPON_TANGO/AR_T9LONGBURST,ui_loot_weapon_ar_t9longburst,rand_assault+rand_primary
iw8_ar_t9mobility,37,WEAPON_TANGO/AR_T9MOBILITY,ui_loot_weapon_ar_t9mobility,rand_assault+rand_primary
iw8_ar_t9slowhandling,38,WEAPON_VICTOR/AR_T9SLOWHANDLING,ui_loot_weapon_ar_t9slowhandling,rand_assault+rand_primary
iw8_ar_t9standard,39,WEAPON_TANGO/AR_T9STANDARD,ui_loot_weapon_ar_t9standard,rand_assault+rand_primary
iw8_ar_tango21,40,WEAPON/AR_TANGO21,icon_weapon_ar_tango21,rand_assault+rand_primary
iw8_ar_valpha,41,WEAPON/AR_VALPHA,icon_weapon_ar_valpha,rand_assault+rand_primary
iw8_sm_augolf,42,WEAPON/SM_AUGOLF,icon_weapon_sm_augolf,rand_smg+rand_primary
iw8_sm_beta,43,WEAPON/SM_BETA,icon_weapon_sm_beta,rand_smg+rand_primary
iw8_sm_charlie9,44,WEAPON/SM_CHARLIE9,icon_weapon_sm_charlie9,rand_smg+rand_primary
iw8_sm_mpapa5,45,WEAPON/SM_MPAPA5,icon_weapon_sm_mpapa5,rand_smg+rand_primary
iw8_sm_mpapa7,46,WEAPON/SM_MPAPA7,icon_weapon_sm_mpapa7,rand_smg+rand_primary
iw8_sm_papa90,47,WEAPON/SM_PAPA90,icon_weapon_sm_papa90,rand_smg+rand_primary
iw8_sm_secho,48,WEAPON/SM_SECHO,ui_loot_weapon_sm_secho,rand_smg+rand_primary
iw8_sm_smgolf45,49,WEAPON/SM_SMGOLF45,icon_weapon_sm_smgolf45,rand_smg+rand_primary
iw8_sm_t9accurate,50,WEAPON_TANGO/SM_T9ACCURATE,ui_loot_weapon_sm_t9accurate,rand_smg+rand_primary
iw8_sm_t9burst,51,WEAPON_TANGO/SM_T9BURST,ui_loot_weapon_sm_t9burst,rand_smg+rand_primary
iw8_sm_t9capacity,52,WEAPON_TANGO/SM_T9CAPACITY,ui_loot_weapon_sm_t9capacity,rand_smg+rand_primary
iw8_sm_t9cqb,53,WEAPON_ACTOR/SM_T9CQB,ui_loot_weapon_sm_t9standard,rand_smg+rand_primary
iw8_sm_t9fastfire,54,WEAPON_TANGO/SM_T9FASTFIRE,ui_loot_weapon_sm_t9fastfire,rand_smg+rand_primary
iw8_sm_t9handling,55,WEAPON_TANGO/SM_T9HANDLING,ui_loot_weapon_sm_t9handling,rand_smg+rand_primary
iw8_sm_t9heavy,56,WEAPON_TANGO/SM_T9HEAVY,ui_loot_weapon_sm_t9heavy,rand_smg+rand_primary
iw8_sm_t9nailgun,57,WEAPON_ZULU/SM_T9NAILGUN,ui_loot_weapon_sm_t9heavy,rand_smg+rand_primary
iw8_sm_t9powerburst,58,WEAPON_TANGO/SM_T9POWERBURST,ui_loot_weapon_sm_t9powerburst,rand_smg+rand_primary
iw8_sm_t9semiauto,59,WEAPON_BAKER/SM_t9semiauto,ui_loot_weapon_sm_t9semiauto,rand_smg+rand_primary
iw8_sm_t9spray,60,WEAPON_XRAY/SM_T9SPRAY,ui_loot_weapon_sm_t9spray,rand_smg+rand_primary
iw8_sm_t9standard,61,WEAPON_TANGO/SM_T9STANDARD,ui_loot_weapon_sm_t9standard,rand_smg+rand_primary
iw8_sm_uzulu,62,WEAPON/SM_UZULU,icon_weapon_sm_uzulu,rand_smg+rand_primary
iw8_sm_victor,63,WEAPON/SM_VICTOR,icon_weapon_sm_victor,rand_smg+rand_primary
iw8_lm_kilo121,64,WEAPON/LM_KILO121,icon_weapon_lm_kilo121,rand_lmg+rand_primary
iw8_lm_lima86,65,WEAPON/LM_LIMA86,icon_weapon_lm_lima86,rand_lmg+rand_primary
iw8_lm_mgolf34,66,WEAPON/LM_MGOLF34,icon_weapon_lm_mgolf34,rand_lmg+rand_primary
iw8_lm_mgolf36,67,WEAPON/LM_MGOLF36,icon_weapon_lm_mgolf36,rand_lmg+rand_primary
iw8_lm_mkilo3,68,WEAPON/LM_MKILO3,icon_weapon_lm_mkilo3,rand_lmg+rand_primary
iw8_lm_pkilo,69,WEAPON/LM_PKILO,icon_weapon_lm_pkilo,rand_lmg+rand_primary
iw8_lm_sierrax,70,WEAPON/LM_SIERRAX,ui_loot_weapon_lm_sierrax,rand_lmg+rand_primary
iw8_lm_slima,71,WEAPON/LM_SLIMA,ui_loot_weapon_lm_slima,rand_lmg+rand_primary
iw8_lm_t9accurate,72,WEAPON_TANGO/LM_T9ACCURATE,ui_loot_weapon_lm_t9accurate,rand_lmg+rand_primary
iw8_lm_t9fastfire,73,WEAPON_ZULU/LM_T9FASTFIRE,ui_loot_weapon_lm_t9fastfire_v0,rand_lmg+rand_primary
iw8_lm_t9light,74,WEAPON_TANGO/LM_T9LIGHT,ui_loot_weapon_lm_t9light,rand_lmg+rand_primary
iw8_lm_t9slowfire,75,WEAPON_TANGO/LM_T9SLOWFIRE,ui_loot_weapon_lm_t9slowfire,rand_lmg+rand_primary
iw8_sh_aalpha12,76,WEAPON/SH_AALPHA12,icon_weapon_sh_aalpha12,rand_shotgun+rand_primary
