<column 0>,<column 1>,<column 2>,<column 3>,<column 4>
iw8_sn_t9standard,0,WEAPON/SN_T9STANDARD,icon_weapon_sn_t9standard,rand_sniper
iw8_sn_t9cannon,1,WEAPON/SN_T9CANNON,icon_weapon_sn_t9cannon,rand_sniper
iw8_sn_t9quickscope,2,WEAPON/SN_T9QUICKSCOPE,icon_weapon_sn_t9quickscope,rand_sniper
iw8_sn_hdromeo,3,WEAPON/SN_HDROMEO,icon_weapon_sn_hdromeo,rand_sniper
iw8_sn_xmike109,4,WEAPON/SN_XMIKE109,icon_weapon_sn_xmike109,rand_sniper
iw8_sn_alpha50,5,WEAPON/SN_ALPHA50,icon_weapon_sn_alpha50,rand_sniper
iw8_sn_romeo700,6,WEAPON/SN_ROMEO700,icon_weapon_sn_romeo700,rand_sniper
iw8_sn_t9accurate,7,WEAPON/SN_T9ACCURATE,icon_weapon_sn_t9accurate,rand_sniper
iw8_sn_t9powersemi,8,WEAPON/SN_T9POWERSEMI,icon_weapon_sn_t9powersemi,rand_sniper
iw8_sn_kilo98,9,WEAPON/SN_KILO98,icon_weapon_sn_kilo98,rand_sniper
iw8_sn_sbeta,10,WEAPON/SN_SBETA,icon_weapon_sn_sbeta,rand_sniper
iw8_sn_delta,11,WEAPON/SN_DELTA,icon_weapon_sn_delta,rand_sniper
iw8_ar_mike4,12,WEAPON/AR_MIKE4,icon_weapon_ar_mike4,rand_assault
iw8_ar_akilo47,13,WEAPON/AR_AKILO47,icon_weapon_ar_akilo47,rand_assault
iw8_ar_falima,14,WEAPON/AR_FALIMA,icon_weapon_ar_falima,rand_assault
iw8_sm_mpapa5,15,WEAPON/SM_MPAPA5,icon_weapon_sm_mpapa5,rand_smg
iw8_sm_papa90,16,WEAPON/SM_PAPA90,icon_weapon_sm_papa90,rand_smg
iw8_sm_uzulu,17,WEAPON/SM_UZULU,icon_weapon_sm_uzulu,rand_smg
iw8_lm_pkilo,18,WEAPON/LM_PKILO,icon_weapon_lm_pkilo,rand_lmg
iw8_lm_lima86,19,WEAPON/LM_LIMA86,icon_weapon_lm_lima86,rand_lmg
iw8_sh_oscar12,20,WEAPON/SH_OSCAR12,icon_weapon_sh_oscar12,rand_shotgun
iw8_sh_charlie725,21,WEAPON/SH_CHARLIE725,icon_weapon_sh_charlie725,rand_shotgun
iw8_pi_decho,22,WEAPON/PI_DECHO,icon_weapon_pi_decho,rand_pistol
iw8_pi_mike1911,23,WEAPON/PI_MIKE1911,icon_weapon_pi_mike_1911,rand_pistol
iw8_la_rpapa7,24,WEAPON/LA_RPAPA7,icon_weapon_la_rpapa7,rand_launcher
equip_frag,25,EQUIPMENT/FRAG,hud_icon_equipment_frag,rand_lethal
equip_semtex,26,EQUIPMENT/SEMTEX,hud_icon_equipment_semtex,rand_lethal
equip_molotov,27,EQUIPMENT/MOLOTOV,hud_icon_equipment_molotov,rand_lethal
equip_claymore,28,EQUIPMENT/CLAYMORE,hud_icon_equipment_claymore,rand_lethal
equip_throwing_knife,29,EQUIPMENT/THROWING_KNIFE,hud_icon_equipment_throwing_knife,rand_lethal
equip_c4,30,EQUIPMENT/C4,hud_icon_equipment_c4,rand_lethal
equip_flash,31,EQUIPMENT/FLASH,hud_icon_equipment_flash,rand_tactical
equip_smoke,32,EQUIPMENT/SMOKE,hud_icon_equipment_smoke,rand_tactical
equip_concussion,33,EQUIPMENT/CONCUSSION,hud_icon_equipment_stun,rand_tactical
equip_adrenaline,34,EQUIPMENT/ADRENALINE,hud_icon_equipment_stim,rand_tactical
none,35,WEAPON/FISTS,icon_weapon_me_fists,rand_tactical
