<column 0>,<column 1>,<column 6>,<column 10>,<column 14>,<column 18>,<column 23>,<column 28>,<column 32>,<column 36>,<column 40>,<column 44>,<column 48>,<column 53>,<column 58>,<column 59>,<column 60>,<column 61>,<column 62>,<column 63>,<column 64>,<column 65>,<column 66>,<column 67>,<column 68>,<column 69>,<column 73>,<column 77>,<column 81>,<column 85>,<column 89>,<column 93>,<column 97>,<column 101>,<column 105>,<column 106>,<column 107>,<column 108>,<column 109>,<column 110>,<column 111>,<column 112>,<column 113>,<column 114>,<column 115>,<column 116>,<column 117>,<column 118>,<column 123>,<column 128>,<column 133>,<column 138>,<column 143>,<column 148>,<column 149>,<column 150>,<column 151>,<column 152>,<column 153>,<column 154>,<column 158>,<column 162>,<column 166>,<column 170>,<column 174>,<column 178>,<column 179>,<column 180>,<column 181>,<column 185>,<column 189>,<column 193>,<column 197>,<column 201>,<column 206>,<column 210>,<column 214>,<column 218>,<column 222>,<column 223>,<column 224>,<column 225>,<column 226>,<column 227>,<column 228>,<column 229>,<column 230>,<column 231>,<column 235>,<column 239>,<column 243>,<column 247>,<column 252>,<column 256>,<column 263>,<column 264>,<column 265>,<column 266>,<column 267>,<column 268>,<column 269>,<column 270>,<column 271>,<column 272>,<column 273>,<column 274>,<column 275>,<column 276>,<column 277>,<column 278>,<column 279>,<column 280>,<column 281>,<column 282>,<column 283>,<column 284>,<column 285>,<column 286>,<column 287>
loadoutName,AK47,SCAR,M4,Famas,MCX,FAL,ASH12,Kilo433,Tango21,Sierra552,GALIMA,A94-GL,VALPHA,AR_T9ACCURATE,AR_T9BRITISH,AR_T9DAMAGE,AR_T9LONGBURST,AR_T9FASTFIRE,AR_T9FASTHANDLING,AR_T9LONGBURST,AR_T9MOBILITY,AR_T9SLOWHANDLING,AR_T9STANDARD,AR_T9SLOWFIRE,P90,MP5 - 10mm conversion,PP19,Aug,MP7,Uzi,SMGOLF45,SMVICTOR,SMCHARLIE9,SM_SECHO,SM_T9ACCURATE,SM_T9BURST,SM_T9CAPACITY,SM_T9CQB,SM_T9FASTFIRE,SM_T9HANDLING,SM_T9HEAVY,SM_T9NAILGUN,SM_T9POWERBURST,SM_t9semiauto,SM_T9SPRAY,SM_T9STANDARD,Glock,M1911,Colt,DE,P320,M9,PI_MIKE,PI_T9BURST,PI_T9FULLAUTO,pi_t9pistolshot,PI_T9REVOLVER,PI_T9SEMIAUTO,Citori,R870,DP12,Origin12,Mike26,AALPHA12,SH_T9FULLAUTO,SH_T9PUMP,SH_T9SEMIAUTO,M14,Marlin,Crossbow,Kar98,SKSierra,R700,AX-50,Dragunov,HDR,XMike109,SN_T9ACCURATE,SN_T9CANNON,SN_T9CROSSBOW,SN_T9DAMAGESEMI,SN_EXPLOSIVEBOW,SN_T9POWERSEMI,SN_T9PRECISIONSEMI,SN_T9QUICKSCOPE,SN_T9STANDARD,HK121,PKM,L86,MG34,MG36,MKILO3,SIERRAX,LM_SLIMA,LM_T9ACCURATE,LM_T9FASTFIRE,LM_T9LIGHT,LM_T9SLOWFIRE,LA_GROMEO,LA_JULIET,LA_KGOLF,LA_RPAPA7,LA_T9FREEFIRE,LA_T9LAUNCHER,LA_T9STANDARD,KNIFE,AKIMBO_BLADES,AKIMBO_BLUNT,ME_RIOTSHIELD,ME_T9BALLISTICKNIFE,ME_T9BAT,ME_T9CANE,ME_T9ETOOL,ME_T9LOADOUT,ME_T9MACE,ME_T9MACHETE,ME_T9SLEDGEHAMMER,ME_T9WAKIZASHI
loadoutPrimaryAddBlueprintAttachments,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
loadoutPrimary,iw8_ar_akilo47,iw8_ar_scharlie,iw8_ar_mike4,iw8_ar_falpha,iw8_ar_mcharlie,iw8_ar_falima,iw8_ar_asierra12,iw8_ar_kilo433,iw8_ar_tango21,iw8_ar_sierra552,iw8_ar_galima,iw8_ar_anovember94,iw8_ar_valpha,iw8_ar_t9accurate,iw8_ar_t9british,iw8_ar_t9damage,iw8_ar_t9fastburst,iw8_ar_t9fastfire,iw8_ar_t9fasthandling,iw8_ar_t9longburst,iw8_ar_t9mobility,iw8_ar_t9slowhandling,iw8_ar_t9standard,iw8_ar_t9slowfire,iw8_sm_papa90,iw8_sm_mpapa5,iw8_sm_beta,iw8_sm_augolf,iw8_sm_mpapa7,iw8_sm_uzulu,iw8_sm_smgolf45,iw8_sm_victor,iw8_sm_charlie9,iw8_sm_secho,iw8_sm_t9accurate,iw8_sm_t9burst,iw8_sm_t9capacity,iw8_sm_t9cqb,iw8_sm_t9fastfire,iw8_sm_t9handling,iw8_sm_t9heavy,iw8_sm_t9nailgun,iw8_sm_t9powerburst,iw8_sm_t9semiauto,iw8_sm_t9spray,iw8_sm_t9standard,iw8_pi_golf21,iw8_pi_mike1911,iw8_pi_cpapa,iw8_pi_decho,iw8_pi_papa320,iw8_pi_mike9,iw8_pi_mike,iw8_pi_t9burst,iw8_pi_t9fullauto,iw8_pi_t9pistolshot,iw8_pi_t9revolver,iw8_pi_t9semiauto,iw8_sh_charlie725,iw8_sh_romeo870,iw8_sh_dpapa12,iw8_sh_oscar12,iw8_sh_mike26,iw8_sh_aalpha12,iw8_sh_t9fullauto,iw8_sh_t9pump,iw8_sh_t9semiauto,iw8_sn_mike14,iw8_sn_sbeta,iw8_sn_crossbow,iw8_sn_kilo98,iw8_sn_sksierra,iw8_sn_romeo700,iw8_sn_alpha50,iw8_sn_delta,iw8_sn_hdromeo,iw8_sn_xmike109,iw8_sn_t9accurate,iw8_sn_t9cannon,iw8_sn_t9crossbow,iw8_sn_t9damagesemi,iw8_sn_t9explosivebow,iw8_sn_t9powersemi,iw8_sn_t9precisionsemi,iw8_sn_t9quickscope,iw8_sn_t9standard,iw8_lm_kilo121,iw8_lm_pkilo,iw8_lm_lima86,iw8_lm_mgolf34,iw8_lm_mgolf36,iw8_lm_mkilo3,iw8_lm_sierrax,iw8_lm_slima,iw8_lm_t9accurate,iw8_lm_t9fastfire,iw8_lm_t9light,iw8_lm_t9slowfire,iw8_la_gromeo,iw8_la_juliet,iw8_la_kgolf,iw8_la_rpapa7,iw8_la_t9freefire,iw8_la_t9launcher,iw8_la_t9standard,iw8_knife,iw8_me_akimboblades,iw8_me_akimboblunt,iw8_me_riotshield,iw8_me_t9ballisticknife,iw8_me_t9bat,iw8_me_t9cane,iw8_me_t9etool,iw8_me_t9loadout,iw8_me_t9mace,iw8_me_t9machete,iw8_me_t9sledgehammer,iw8_me_t9wakizashi
loadoutPrimaryAttachment1,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,calcust2,none,none,none,none,none,none,none,none,none,scope,scope,scope,none,scope,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
loadoutPrimaryAttachment2,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,scope,none,none,none,none,none,none,none,none,none,none,none,none,none,calcust2,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
loadoutPrimaryAttachment3,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,choke,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
loadoutPrimaryAttachment4,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,stockno,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
loadoutPrimaryAttachment5,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,barlong,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
loadoutPrimaryCamo,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
loadoutPrimaryReticle,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
