loadoutName,weapon,variantIDs,attachmentToken1,attachmentRef1,attachmentToken2,attachmentRef2,attachmentToken3,attachmentRef3,attachmentToken4,attachmentRef4,attachmentToken5,attachmentRef5
LW3 - Tundra (CW),iw8_sn_t9standard,0 1,scope,snprscope_sn_t9standard,barlong,barrel_sn_t9standard01,stockh,stalker_sn_t9standard02,pistolgrip02,handle_sn_t9standard02,xmagslrg,extclip_sn_t9standard02
ZRG 20mm (CW),iw8_sn_t9cannon,0 1,scope,snprscope_sn_t9cannon,barlong,barrel_sn_t9cannon01,stockh,stalker_sn_t9cannon02,pistolgrip02,handle_sn_t9cannon02,xmagslrg,extclip_sn_t9cannon02
Pelington 703 (CW),iw8_sn_t9quickscope,0 1,scope,snprscope_sn_t9quickscope,barlong,barrel_sn_t9quickscope01,stockh,stalker_sn_t9quickscope02,pistolgrip02,handle_sn_t9quickscope02,xmagslrg,extclip_sn_t9quickscope02
HDR (MW),iw8_sn_hdromeo,1 3 5 6 7 8 9 10,scope,snprscope_hdromeo,barlong,barlong_hdromeo,stockh,stockh_hdromeo,pistolgrip02,pistolgrip02_hdromeo,xmagslrg,xmagslrg_hdromeo
Rytec AMR (MW),iw8_sn_xmike109,1,scope,snprscope_xmike109,barlong,barlong_xmike109,stockh,stockh_xmike109,pistolgrip02,pistolgrip02_xmike109,calcust2,calcust2_xmike109
AX-50 (MW),iw8_sn_alpha50,1 3 4 5 6 7 8 9 10 11,scope,snprscope_alpha50,barlong,barlong_alpha50,stockh,stockh_alpha50,pistolgrip02,pistolgrip02_alpha50,xmagslrg,xmags_alpha50
SP-R 208 (MW),iw8_sn_romeo700,1,scope,snprscope_romeo700,barlong,barlong_romeo700,stockh,stockh_romeo700,gripcust,griphip_modern,xmags,xmags_romeo700
Swiss K31 (CW),iw8_sn_t9accurate,0 1,scope,snprscope_sn_t9accurate,barlong,barrel_sn_t9accurate01,stockh,stalker_sn_t9accurate02,pistolgrip02,handle_sn_t9accurate02,xmagslrg,extclip_sn_t9accurate02
M82 (CW),iw8_sn_t9powersemi,0 1,scope,snprscope_sn_t9powersemi,barlong,barrel_sn_t9powersemi01,stockh,stalker_sn_t9powersemi02,pistolgrip02,handle_sn_t9powersemi02,xmagslrg,extclip_sn_t9powersemi02
Kar98k (MW),iw8_sn_kilo98,1 2 3 4 5 6 7 8 9 10,scope,snprscope_kilo98,barlong,barlong_kilo98,stockh,stockh_kilo98,pistolgrip02,pistolgrip02_kilo98,xmags,xmags_kilo98
Mk2 Carbine (MW),iw8_sn_sbeta,2 3 4 5 6 7 8 10 11 12 13,scope,snprscope_sbeta,barlong,barlong_sbeta,stockh,stockh_sbeta,pistolgrip02,pistolgrip02_sbeta,silencer3,silencerbalanced_sbeta
Dragunov (MW),iw8_sn_delta,2 3 4 5 6 7 8 9,scope,snprscope_delta,barlong,barlong_delta,stockh,stockh_delta,pistolgrip02,pistolgrip02_delta,xmagslrg,xmagslrg_delta
